Step,Value
100,-9.14356793843722
101,-9.10787855188611
102,-9.06486380706706
103,-9.01591304460075
104,-8.96218045345019
105,-9.03510058544487
106,-9.08430350948422
107,-9.11337899326972
108,-9.12546488529183
109,-9.13724579565602
110,-9.16513080626672
111,-9.17688815142168
112,-9.1748113820318
113,-9.17464973141343
114,-9.16285666394384
115,-9.14140291296372
116,-9.11189264844348
117,-9.0758235968343
118,-9.0341646988802
119,-8.98791493492036
120,-8.93811684339447
121,-8.90290654764397
122,-8.89958044594476
123,-8.88626002868073
124,-8.86469721456417
125,-8.83622492264749
126,-8.80208084756518
127,-8.76326081065563
128,-8.73712436926358
129,-8.74700749800796
130,-8.74555694017078
131,-8.74396633814052
132,-8.73309384339784
133,-8.7144520458646
134,-8.70727441613945
135,-8.69177768845669
136,-8.66938725398397
137,-8.64134359154555
138,-8.68881790463562
139,-8.71986187429001
140,-8.73699341010207
141,-8.74249235314609
142,-8.73828011745323
143,-8.75935658509525
144,-8.77244260500614
145,-8.77469354671371
146,-8.76785497796349
147,-8.75345082871159
148,-8.7329662682934
149,-8.70721207817146
150,-8.67713706042157
151,-8.64342123959381
152,-8.60669914175899
153,-8.56750496423598
154,-8.52625100381079
155,-8.50468072575199
156,-8.47846615999527
157,-8.44849134669849
158,-8.41551315593945
159,-8.38007779555512
160,-8.3426279414837
161,-8.30356175509818
162,-8.26311939742732
163,-8.22160034893535
164,-8.17924336086507
165,-8.13622340527352
166,-8.09278033199012
167,-8.04913281916365
168,-8.00545837472843
169,-7.96165811312518
170,-7.91809022425089
171,-7.87449626325272
172,-7.89188022582628
173,-7.99321276638471
174,-8.07221532751648
175,-8.1358648971329
176,-8.1830437849232
177,-8.2162467688052
178,-8.23763517958611
179,-8.2824432984917
180,-8.31363599256071
181,-8.34990444026474
182,-8.37393268451861
183,-8.38755174904968
184,-8.39263057078342
185,-8.39031786382801
186,-8.38197956344998
187,-8.36849189979125
188,-8.35059823796099
189,-8.32901884391113
190,-8.34063255670739
191,-8.35523663064452
192,-8.36134926265001
193,-8.36037477471125
194,-8.37029088859795
195,-8.37242619322024
196,-8.36801175383071
197,-8.35808896910388
198,-8.34358322528554
199,-8.32539010565897
200,-8.30403253280329
201,-8.27993410544322
202,-8.28042030989346
203,-8.27487750610048
204,-8.26434365507249
205,-8.24954996165476
206,-8.231281171325
207,-8.21002979533939
208,-8.21223761775601
209,-8.20845301764937
210,-8.1995442454524
211,-8.19068189688833
212,-8.17760953102573
213,-8.16101129328166
214,-8.16249379270982
215,-8.15830223799402
216,-8.14931334341125
217,-8.17496521961563
218,-8.19133980808747
219,-8.22577674962459
220,-8.24946700941296
221,-8.3182661543206
222,-8.37114912355227
223,-8.43598533045888
224,-8.48544773177201
225,-8.55641728846739
226,-8.61094683882826
227,-8.65154143676806
228,-8.68171611457866
229,-8.71756771381032
230,-8.74243654309741
231,-8.7581348128535
232,-8.76592967423847
233,-8.76705341623319
234,-8.76269181493102
235,-8.75358527436556
236,-8.74056026244657
237,-8.77977190980138
238,-8.80757874830066
239,-8.86081313089504
240,-8.93921589003581
241,-9.03125625128141
242,-9.10374219103061
243,-9.1597194537609
244,-9.20163701825597
245,-9.23161485418945
246,-9.25149899553735
247,-9.26283353722848
248,-9.26696514917656
249,-9.26511274435378
250,-9.30365846812247
251,-9.33083303889226
252,-9.34843754472834
253,-9.3579961870822
254,-9.36662957991221
255,-9.36854675448238
256,-9.39530142725363
257,-9.42196664903289
258,-9.43923133452403
259,-9.44860798879184
260,-9.45121544350346
261,-9.44813960280802
262,-9.4402622865018
263,-9.42838253710869
264,-9.41311631216678
265,-9.39510719549618
266,-9.37469380782214
267,-9.352244371506
268,-9.35502528665717
269,-9.35232848714309
270,-9.34505831372678
271,-9.33388460771391
272,-9.31945040555523
273,-9.30238840502468
274,-9.28298248344334
275,-9.26161469886324
276,-9.24521947889704
277,-9.22648031354747
278,-9.20687074477157
279,-9.18540081344524
280,-9.16249305425194
281,-9.13836242611598
282,-9.11323470251841
283,-9.08732596656203
284,-9.09974653797788
285,-9.10564470475739
286,-9.10599167503865
