Step,Value
0,-0.2653188705444336
1,-3.419669198989869
2,-8.45360373735428
3,-11.358629220604897
4,-12.9995612092793
5,-13.842208013910353
6,-14.163882821879342
7,-14.143489937553129
8,-13.897642935796501
9,-14.046405566395654
10,-14.219414948187405
11,-14.178524600414251
12,-13.987201471036316
13,-13.687758688201304
14,-13.316546074012246
15,-13.688945316017097
16,-13.867390389570954
17,-13.897122462620295
18,-13.813674994335038
19,-13.64498377822006
20,-13.412316020675895
21,-13.24307425607854
22,-13.020798546286143
23,-12.760766771316487
24,-12.473432265567745
25,-12.168473295788734
26,-12.008826347746108
27,-11.814646989776696
28,-11.59521936384132
29,-11.35873325224913
30,-11.236651532081439
31,-11.085125159614805
32,-10.911647719824806
33,-10.722226840537608
34,-10.52069656544879
35,-10.310876306095338
36,-10.096588629254523
37,-9.879993811352552
38,-9.66459878170289
39,-9.45081380110212
40,-9.239574530085362
41,-9.28261517247197
42,-9.286958707834696
43,-9.259297620699408
44,-9.333283207544449
45,-9.495751291979797
46,-9.601193018654019
47,-9.697368655318197
48,-9.748781947947592
49,-9.973474991677694
50,-10.131974445288101
51,-10.235369349051528
52,-10.293453171699902
53,-10.31382151605905
54,-10.500770667571702
55,-10.629902923576084
56,-10.726552986901243
57,-10.780273552965177
58,-10.798532154953872
59,-10.787190537429785
60,-10.751824988584117
61,-10.696614306779043
62,-10.70193351444566
63,-10.813948909108035
64,-10.897391889209114
65,-10.942712409950673
66,-11.064364735393497
67,-11.142175215971923
68,-11.1835968888984
69,-11.194840524356364
70,-11.181035645501494
71,-11.146451795639772
72,-11.095171272616438
73,-11.029983106138035
74,-10.953695421864058
75,-10.868643914294287
76,-10.776549279130736
77,-10.678915735604022
78,-10.577227434559074
79,-10.472362527138884
80,-10.391483695858579
81,-10.305055281341852
82,-10.214296388325756
83,-10.131004421455678
84,-10.043422201535666
85,-9.952832991254658
86,-9.860081658975762
87,-9.803328407092899
88,-9.739549069048373
89,-9.670164627010818
90,-9.596635973303433
91,-9.51963394927142
92,-9.44013818244223
93,-9.358629879544889
94,-9.27559517086755
95,-9.25737153015563
96,-9.22803909126644
97,-9.189486046256285
98,-9.186341707585663
99,-9.170369983689636
100,-9.143567938437215
101,-9.10787855188611
102,-9.06486380706706
103,-9.015913044600751
104,-8.96218045345019
105,-9.03510058544487
106,-9.084303509484219
107,-9.113378993269716
108,-9.125464885291832
109,-9.137245795656016
110,-9.16513080626672
111,-9.176888151421682
112,-9.174811382031795
113,-9.174649731413426
114,-9.162856663943844
115,-9.141402912963716
116,-9.111892648443476
117,-9.075823596834303
118,-9.034164698880202
119,-8.987914934920363
120,-8.938116843394468
121,-8.902906547643965
122,-8.899580445944759
123,-8.88626002868073
124,-8.864697214564169
125,-8.836224922647489
126,-8.802080847565184
127,-8.763260810655627
128,-8.737124369263583
129,-8.747007498007957
130,-8.745556940170777
131,-8.743966338140522
132,-8.733093843397837
133,-8.714452045864602
134,-8.707274416139454
135,-8.691777688456694
136,-8.669387253983967
137,-8.641343591545551
138,-8.688817904635618
139,-8.719861874290007
140,-8.736993410102073
141,-8.742492353146089
142,-8.738280117453229
143,-8.759356585095254
