Wall time,Step,Value
1746614647.95983,0,-60960.828125
1746614650.3275385,1,-62001.89453125
1746614654.5383322,2,-52562.5625
1746614658.7952898,3,-19218.06640625
1746614663.0001938,4,-5964.64208984375
1746614667.3964512,5,-5066.46337890625
1746614671.6368341,6,-3945.8359375
1746614675.8628297,7,-4426.681640625
1746614680.1187298,8,-3359.858154296875
1746614684.3461766,9,-3645.049072265625
1746614688.603601,10,-3900.05419921875
1746614692.875016,11,-2531.822998046875
1746614697.13055,12,-2903.0634765625
1746614701.412368,13,-3579.37890625
1746614705.7116892,14,-3434.740234375
1746614709.952952,15,-3107.209716796875
1746614714.1810648,16,-2871.0712890625
1746614718.385159,17,-3237.69873046875
1746614722.5864396,18,-2874.251708984375
1746614726.8033724,19,-3670.604736328125
1746614730.989763,20,-2962.732666015625
1746614735.2087085,21,-2876.217529296875
1746614739.436507,22,-2752.5380859375
1746614743.6798637,23,-2222.35205078125
1746614747.945257,24,-2454.523681640625
1746614752.2200274,25,-1349.600341796875
