Step,Value
0,-73148.890625
1,-73460.9375
2,-73400.825
3,-57685.1329296875
4,-40488.0548125
5,-28875.385115429686
6,-21124.72488557617
7,-15974.645003749512
8,-12680.522597163745
9,-10219.869937179872
10,-8849.520537291915
11,-8415.184369747558
12,-8530.244889164038
13,-7489.618235573813
14,-6409.2416968729785
15,-5886.903782654937
16,-5692.356086655396
17,-5629.397056911945
18,-5597.300420977139
19,-5454.52037129139
20,-5134.8434415347165
21,-4852.8086618022535
22,-4746.325068648028
23,-4689.088833683718
24,-4694.383279003791
25,-4194.9005595751205
26,-4121.072289993359
27,-3880.1898229683393
28,-3725.455342937233
29,-3686.781361092795
30,-3606.031725042348
31,-3450.069473816589
32,-3594.8864543675013
33,-3517.692748073251
34,-3576.506633903863
35,-2731.9250029554796
