Step,Value
0,-60960.828125
1,-61325.2013671875
2,-58258.277763671875
3,-44594.20378857422
4,-31073.857194018557
5,-21971.269358729252
6,-15662.367661299015
7,-11729.877554063109
8,-8800.370764144927
9,-6996.008171987172
10,-5912.424281518224
11,-4729.213832303252
12,-4090.0612077939886
13,-3911.3224022535924
14,-3744.518643496085
15,-3521.4605191513615
16,-3293.8242886202597
17,-3274.1803432672314
18,-3134.2053212682317
19,-3321.9451165391943
20,-3196.220758855945
21,-3084.2196285102705
22,-2968.131088609801
23,-2707.108425369808
24,-2618.703765064594
25,-2174.517566920892
