Wall time,Step,Value
1746613410.397739,0,-84451.7890625
1746613413.2158108,1,-85951.2421875
1746613418.0418983,2,-80654.3046875
1746613422.7424495,3,-41883.55078125
1746613427.4788566,4,-19639.919921875
1746613432.1264358,5,-7706.349609375
1746613436.8253622,6,-7055.74609375
1746613441.492013,7,-4551.72705078125
1746613446.138668,8,-4700.546875
1746613450.786354,9,-7156.3974609375
1746613455.4321487,10,-5344.61572265625
1746613460.0648053,11,-5656.18798828125
1746613464.7652602,12,-4828.46240234375
1746613469.4177816,13,-4629.41455078125
1746613474.0517502,14,-4200.1650390625
1746613478.6975808,15,-4369.49853515625
1746613483.3518581,16,-4082.56103515625
1746613488.0355244,17,-4220.1611328125
1746613492.717116,18,-4595.0341796875
1746613497.3804681,19,-4405.0859375
1746613502.1541722,20,-4680.1533203125
1746613506.907319,21,-4340.1396484375
1746613511.7994153,22,-4870.24169921875
1746613516.4567091,23,-4347.5830078125
1746613521.0776742,24,-4333.03662109375
1746613525.7852046,25,-4303.58349609375
1746613530.4937968,26,-5627.921875
1746613535.1181,27,-5377.400390625
1746613539.8293571,28,-5002.68212890625
1746613544.5426564,29,-5300.3291015625
1746613549.2926867,30,-3976.21875
1746613553.9227312,31,-3784.899169921875
1746613558.6164458,32,-5157.02392578125
1746613563.2187061,33,-4067.405517578125
1746613567.9214475,34,-3256.047119140625
1746613572.6251888,35,-3967.950927734375
1746613577.3124483,36,-3231.07470703125
1746613582.0428596,37,-4045.281494140625
1746613586.6945248,38,-3053.157470703125
1746613591.3793664,39,-3241.998779296875
1746613596.0785725,40,-3515.439697265625
1746613596.4248655,41,793.5703735351562
