Step,Value
208,-47.55979837111758
209,-47.52250277163891
210,-47.47696503289503
211,-47.41677510584164
212,-47.353932111144594
213,-47.287024125832765
214,-47.26509572821029
215,-47.22042070918871
216,-47.25044087002232
217,-47.252366583696215
218,-47.24047366279217
219,-47.20536620590264
220,-47.17486683226822
221,-47.1331706895691
222,-47.085340166700135
223,-47.03102112106523
224,-46.97807731875017
225,-46.92287840099135
226,-46.85475112997839
227,-46.80676955484198
228,-46.79621020682076
229,-46.771833302262486
230,-46.748207278480734
231,-46.70824963183802
232,-46.679696398793276
233,-46.65898011341276
234,-46.667007180873505
235,-46.687529338300585
236,-46.687805317804525
237,-46.67254173906696
238,-46.65248265990857
239,-46.61632080932316
240,-46.57249291192372
241,-46.54595487448819
242,-46.503746320438985
243,-46.47591996807627
244,-46.431263082483966
245,-46.458507442743205
246,-46.52254458927118
247,-46.56997295184486
248,-46.655924381504654
249,-46.727764300939114
250,-46.77759356754141
251,-46.8003624532476
252,-46.8664199169255
253,-46.91864000433785
254,-46.948533136377606
255,-46.95774604769587
256,-46.949578181984364
257,-46.931770475377625
258,-46.941036161700374
259,-46.973313087604005
260,-46.97992022755178
261,-46.97220164074567
262,-47.000032626628446
263,-47.06662719705068
264,-47.10452263623087
265,-47.15630430091586
266,-47.23405761512907
267,-47.33425075356039
268,-47.41751977962545
269,-47.51811774957128
270,-47.635490953224455
271,-47.72578990698151
272,-47.7988429983879
273,-47.849455124374344
274,-47.87841293146282
275,-47.926281462019276
276,-47.956912645121164
277,-48.00244988317965
278,-48.04002700366901
279,-48.0643372078794
280,-48.089161953235575
281,-48.090557405123285
282,-48.07385699595391
283,-48.04941518056961
284,-48.04971450474149
285,-48.031416913075674
286,-48.02514397419782
287,-48.03579307814138
288,-48.026838682460216
289,-48.04386142592859
290,-48.043661148806876
291,-48.07735569749414
292,-48.16431000583388
293,-48.27063713014191
294,-48.35789152094777
295,-48.45949210219281
296,-48.54040692516955
297,-48.59619376389656
298,-48.652310086580144
299,-48.684781452316265
300,-48.697371470186596
301,-48.747894419397376
302,-48.83838397780124
303,-48.906160850735546
304,-48.945428602397676
305,-49.00638073049506
306,-49.04833267090859
307,-49.06520863239388
308,-49.09526593769349
309,-49.11723321867032
310,-49.16114821298159
311,-49.18562996510417
312,-49.1901442120988
313,-49.1752782428206
314,-49.153772997791556
315,-49.12272536629909
316,-49.10032600654466
317,-49.072713209383764
318,-49.03613713007581
319,-48.9965084535698
320,-48.94627420518765
321,-48.95818057807161
322,-49.00244272628519
323,-49.02753484395373
324,-49.08265926366194
325,-49.13836301998667
326,-49.194631310213765
327,-49.22990518820562
328,-49.277621176942546
329,-49.33034598135819
330,-49.382659089647625
331,-49.417872111271286
332,-49.43966700258841
333,-49.4728611248686
334,-49.497169115867315
335,-49.51759287110684
336,-49.520201056529686
337,-49.50760363730805
338,-49.48282131467327
339,-49.490892425943954
340,-49.50840789219152
341,-49.5163300198252
342,-49.06621625598716
