Step,Value
0,-5.181650638580322
1,-5.143869328498841
2,-5.13847459435463
3,-5.094214192211629
4,-5.071903328600527
5,-5.020874752032311
6,-4.95583078802965
7,-4.9118510396295845
8,-4.868695495959317
9,-4.838650857081777
10,-4.806700574825357
11,-4.773730738311636
12,-4.90823722863911
13,-5.010346099108563
14,-5.084479828392059
15,-5.136580340819957
16,-5.174421322190554
17,-5.203976259695711
18,-5.212015360749899
19,-5.207582317425378
20,-5.238255654015673
21,-5.263606511655205
22,-5.279863636332094
23,-5.282032750588396
24,-5.369734723528701
25,-5.434631098594672
26,-5.48319685746575
27,-5.524123057186037
28,-5.6087834644223395
29,-5.719998760692216
30,-5.804972941797124
31,-5.871430598550017
32,-5.923963813409237
33,-5.965504753749841
34,-5.993781944053453
35,-6.026863395121216
36,-6.043688025181037
37,-6.051362330902478
38,-6.080342017521989
39,-6.127695350323073
40,-6.163766730033219
41,-6.190378983788124
42,-6.205675109204219
43,-6.209564457714639
44,-6.205942794504831
45,-6.195254774987309
46,-6.182285762115983
47,-6.162848476411867
48,-6.138970521356337
49,-6.113703017608148
50,-6.085625116427192
51,-6.05738489701304
52,-6.046650206475061
53,-6.07038292300136
54,-6.086423699654306
55,-6.09577791184941
56,-6.097298986188026
57,-6.130513333778316
58,-6.152873351152364
59,-6.16806090164113
60,-6.174668344306338
61,-6.175856593827684
62,-6.172739151163139
63,-6.163992842621358
64,-6.150619568922856
65,-6.1331508687376255
66,-6.111050781761943
67,-6.087487227302827
68,-6.064935785129399
69,-6.042433252290409
70,-6.017476264439218
71,-5.992213547460103
72,-5.980730071859642
73,-5.980961383300544
74,-5.9771505631803405
75,-5.9703116270034595
76,-5.96156920138098
77,-5.950320176001714
78,-5.936718310871598
79,-5.92187463150923
80,-5.906593891685494
81,-5.89113748749047
82,-5.880811071176897
83,-5.868783566765622
84,-5.85550382872496
85,-5.842167845061053
86,-5.82909225631459
87,-5.813900404447296
88,-5.796096483153981
89,-5.779677978545875
90,-5.762894986750566
91,-5.746526877959172
92,-5.728917114682655
93,-5.71084703786722
94,-5.718675419847354
95,-5.722959759221631
96,-5.723931898701423
97,-5.722549149914581
98,-5.730062096412379
99,-5.733020380865622
100,-5.731699149182862
101,-5.727207962985547
102,-5.728699225851253
103,-5.726273075608514
104,-5.720496453332789
105,-5.713721366588974
106,-5.706742960299053
107,-5.698368859660872
108,-5.6899209991260475
109,-5.679921852438598
110,-5.6681687363541196
111,-5.654627414472168
112,-5.639104992288526
113,-5.622264774260372
114,-5.605175110573404
115,-5.588318092568326
116,-5.572553250692354
117,-5.556762178219116
118,-5.5404690161896175
119,-5.524139321567572
120,-5.506928278221352
121,-5.489447095226858
122,-5.481831556058796
123,-5.473219017855666
124,-5.468478931557626
125,-5.461433696285652
126,-5.453101925457916
127,-5.444237431431404
128,-5.435647823873065
129,-5.4253376480872095
130,-5.4155715677534
131,-5.405080644029903
132,-5.393920889077334
133,-5.381346980721838
134,-5.369402096661353
135,-5.358667013142069
136,-5.349179128338422
137,-5.339112067818737
138,-5.331005963593803
139,-5.323445151223312
140,-5.316936420875325
141,-5.308779512202644
142,-5.309128802222529
143,-5.308572255593678
144,-5.30702673650664
145,-5.30479601590186
146,-5.302499360174906
147,-5.298864206057117
148,-5.293665393515553
149,-5.28722487556488
150,-5.280204839184067
151,-5.27274142173236
152,-5.264523260764377
153,-5.255266243245485
154,-5.245477173648616
155,-5.236198880110173
156,-5.225647001623004
157,-5.220783615892188
158,-5.215162435240843
159,-5.208276072350346
160,-5.20267586442443
161,-5.196608629353051
162,-5.190493537533406
163,-5.183461150046095
164,-4.265485983529209
