Step,Value
0,-79766.2890625
1,-78611.133203125
2,-77415.54126953126
3,-72201.60280175782
4,-61966.783422705084
5,-51564.34037710205
6,-38189.13975097571
7,-29515.195672118585
8,-22967.225331408332
9,-19447.493145102915
10,-16832.661266973144
11,-16563.038514938795
12,-14983.658237835216
13,-15879.33693662414
14,-13594.871206071315
15,-11816.42443824323
16,-11427.266949311224
17,-10816.085479942922
18,-10457.76698774415
19,-10812.804254924322
20,-10514.51075398206
21,-10522.741218603964
22,-9873.200346780075
23,-10639.432325016423
24,-9686.0953179013
25,-9403.445843354595
26,-8613.249222008611
27,-7140.521613446223
28,-6850.916392490044
29,-5883.291870938841
30,-5453.870966110247
31,-6006.623891643535
32,-5474.9262571073605
33,-5452.04449876041
34,-5601.486443725516
35,-5352.468751898148
36,-4541.681446546297
37,-4210.946895333218
38,-3995.3567661462794
39,-3936.3209849091436
40,-3944.3876685112555
41,-3820.1149483995036
42,-3870.9476778854587
43,-3869.4181634771107
44,-3802.254667588247
45,-4782.212531002673
46,-4916.978721323612
47,-4711.22017764941
48,-4568.112231683054
49,-4369.1324720783605
50,-4220.070616128278
51,-3787.1969869091618
52,-2199.3096332878304
